Fecha,Hora,Frecuencia cardiaca
2025.04.26 00:59:00,00:59:00,93
2025.04.26 01:00:00,01:00:00,68
2025.04.26 01:02:00,01:02:00,95
2025.04.26 01:03:00,01:03:00,53
2025.04.26 01:06:00,01:06:00,50
2025.04.26 01:07:00,01:07:00,112
2025.04.26 01:08:00,01:08:00,73
2025.04.26 01:09:00,01:09:00,63
2025.04.26 01:10:00,01:10:00,62
2025.04.26 01:11:00,01:11:00,67
2025.04.26 01:12:00,01:12:00,70
2025.04.26 01:13:00,01:13:00,62
2025.04.26 01:15:00,01:15:00,51
2025.04.26 01:21:00,01:21:00,78
2025.04.26 01:22:00,01:22:00,54
2025.04.26 01:23:00,01:23:00,77
2025.04.26 01:24:00,01:24:00,55
2025.04.26 01:26:00,01:26:00,77
2025.04.26 01:27:00,01:27:00,59
2025.04.26 01:28:00,01:28:00,61
2025.04.26 01:29:00,01:29:00,95
2025.04.26 01:30:00,01:30:00,74
2025.04.26 01:31:00,01:31:00,77
2025.04.26 01:32:00,01:32:00,61
2025.04.26 01:33:00,01:33:00,53
2025.04.26 01:35:00,01:35:00,54
2025.04.26 01:36:00,01:36:00,54
2025.04.26 01:39:00,01:39:00,96
2025.04.26 01:43:00,01:43:00,66
2025.04.26 01:44:00,01:44:00,67
2025.04.26 01:45:00,01:45:00,68
2025.04.26 01:46:00,01:46:00,56
2025.04.26 01:47:00,01:47:00,96
2025.04.26 01:49:00,01:49:00,91
2025.04.26 01:50:00,01:50:00,52
2025.04.26 01:52:00,01:52:00,58
2025.04.26 01:53:00,01:53:00,60
2025.04.26 01:55:00,01:55:00,51
2025.04.26 01:57:00,01:57:00,51
2025.04.26 02:00:00,02:00:00,98
2025.04.26 02:01:00,02:01:00,101
2025.04.26 02:02:00,02:02:00,72
2025.04.26 02:03:00,02:03:00,84
2025.04.26 02:05:00,02:05:00,66
2025.04.26 02:08:00,02:08:00,77
2025.04.26 02:09:00,02:09:00,68
2025.04.26 02:10:00,02:10:00,60
2025.04.26 02:13:00,02:13:00,66
2025.04.26 02:14:00,02:14:00,62
2025.04.26 02:15:00,02:15:00,65
2025.04.26 02:18:00,02:18:00,62
2025.04.26 02:19:00,02:19:00,61
2025.04.26 02:20:00,02:20:00,52
2025.04.26 02:25:00,02:25:00,73
2025.04.26 02:26:00,02:26:00,58
2025.04.26 02:27:00,02:27:00,54
2025.04.26 02:36:00,02:36:00,57
2025.04.26 02:37:00,02:37:00,51
2025.04.26 02:39:00,02:39:00,48
2025.04.26 02:41:00,02:41:00,51
2025.04.26 02:42:00,02:42:00,46
2025.04.26 02:45:00,02:45:00,48
2025.04.26 02:48:00,02:48:00,51
2025.04.26 02:51:00,02:51:00,52
2025.04.26 03:02:00,03:02:00,52
2025.04.26 03:13:00,03:13:00,53
2025.04.26 03:24:00,03:24:00,50
2025.04.26 03:25:00,03:25:00,51
2025.04.26 03:35:00,03:35:00,51
2025.04.26 03:36:00,03:36:00,50
2025.04.26 03:46:00,03:46:00,51
2025.04.26 03:47:00,03:47:00,49
2025.04.26 03:58:00,03:58:00,53
2025.04.26 04:09:00,04:09:00,50
2025.04.26 04:20:00,04:20:00,62
2025.04.26 04:31:00,04:31:00,54
2025.04.26 04:32:00,04:32:00,52
2025.04.26 04:42:00,04:42:00,51
2025.04.26 04:43:00,04:43:00,51
2025.04.26 04:53:00,04:53:00,57
2025.04.26 04:54:00,04:54:00,57
2025.04.26 05:05:00,05:05:00,51
2025.04.26 05:16:00,05:16:00,50
2025.04.26 05:27:00,05:27:00,51
2025.04.26 05:28:00,05:28:00,53
2025.04.26 05:38:00,05:38:00,54
2025.04.26 05:39:00,05:39:00,53
2025.04.26 05:49:00,05:49:00,54
2025.04.26 05:50:00,05:50:00,51
2025.04.26 06:01:00,06:01:00,53
2025.04.26 06:12:00,06:12:00,58
2025.04.26 06:23:00,06:23:00,49
2025.04.26 06:34:00,06:34:00,44
2025.04.26 06:35:00,06:35:00,48
2025.04.26 06:45:00,06:45:00,49
2025.04.26 06:46:00,06:46:00,47
2025.04.26 06:56:00,06:56:00,49
2025.04.26 06:57:00,06:57:00,50
2025.04.26 07:02:00,07:02:00,55
2025.04.26 07:08:00,07:08:00,50
2025.04.26 07:19:00,07:19:00,53
2025.04.26 07:29:00,07:29:00,62
2025.04.26 07:30:00,07:30:00,56
2025.04.26 07:41:00,07:41:00,55
2025.04.26 07:42:00,07:42:00,56
2025.04.26 07:52:00,07:52:00,64
2025.04.26 07:53:00,07:53:00,52
2025.04.26 08:03:00,08:03:00,53
2025.04.26 08:04:00,08:04:00,54
2025.04.26 08:15:00,08:15:00,52
2025.04.26 08:26:00,08:26:00,55
2025.04.26 08:27:00,08:27:00,56
2025.04.26 08:28:00,08:28:00,68
2025.04.26 08:37:00,08:37:00,50
2025.04.26 08:48:00,08:48:00,50
2025.04.26 08:49:00,08:49:00,48
2025.04.26 08:59:00,08:59:00,51
2025.04.26 09:00:00,09:00:00,52
2025.04.26 09:08:00,09:08:00,54
2025.04.26 09:09:00,09:09:00,67
2025.04.26 09:10:00,09:10:00,69
2025.04.26 09:11:00,09:11:00,54
2025.04.26 09:22:00,09:22:00,53
2025.04.26 09:33:00,09:33:00,57
2025.04.26 09:44:00,09:44:00,52
2025.04.26 09:55:00,09:55:00,55
2025.04.26 09:56:00,09:56:00,51
2025.04.26 10:06:00,10:06:00,51
2025.04.26 10:07:00,10:07:00,53
2025.04.26 10:17:00,10:17:00,54
2025.04.26 10:18:00,10:18:00,56
2025.04.26 10:23:00,10:23:00,56
2025.04.26 10:24:00,10:24:00,69
2025.04.26 10:27:00,10:27:00,67
2025.04.26 10:28:00,10:28:00,66
2025.04.26 10:29:00,10:29:00,52
2025.04.26 10:40:00,10:40:00,52
2025.04.26 10:49:00,10:49:00,55
2025.04.26 10:50:00,10:50:00,69
2025.04.26 10:51:00,10:51:00,55
2025.04.26 11:02:00,11:02:00,58
2025.04.26 11:03:00,11:03:00,66
2025.04.26 11:13:00,11:13:00,66
2025.04.26 11:14:00,11:14:00,55
2025.04.26 11:24:00,11:24:00,52
2025.04.26 11:25:00,11:25:00,52
2025.04.26 11:36:00,11:36:00,54
2025.04.26 11:47:00,11:47:00,54
2025.04.26 11:58:00,11:58:00,54
2025.04.26 11:59:00,11:59:00,53
2025.04.26 12:09:00,12:09:00,58
2025.04.26 12:10:00,12:10:00,51
2025.04.26 12:14:00,12:14:00,73
2025.04.26 12:20:00,12:20:00,64
2025.04.26 12:21:00,12:21:00,70
2025.04.26 12:22:00,12:22:00,74
2025.04.26 12:24:00,12:24:00,75
2025.04.26 12:25:00,12:25:00,66
2025.04.26 12:26:00,12:26:00,64
2025.04.26 12:30:00,12:30:00,76
2025.04.26 12:31:00,12:31:00,76
2025.04.26 12:32:00,12:32:00,84
2025.04.26 12:33:00,12:33:00,79
2025.04.26 12:36:00,12:36:00,70
2025.04.26 12:37:00,12:37:00,68
2025.04.26 12:38:00,12:38:00,56
2025.04.26 12:44:00,12:44:00,83
2025.04.26 12:45:00,12:45:00,64
2025.04.26 12:46:00,12:46:00,73
2025.04.26 12:47:00,12:47:00,74
2025.04.26 12:48:00,12:48:00,92
2025.04.26 12:49:00,12:49:00,99
2025.04.26 12:50:00,12:50:00,87
2025.04.26 12:51:00,12:51:00,63
2025.04.26 12:59:00,12:59:00,56
2025.04.26 13:00:00,13:00:00,102
2025.04.26 13:02:00,13:02:00,82
2025.04.26 13:03:00,13:03:00,78
2025.04.26 13:04:00,13:04:00,81
2025.04.26 13:05:00,13:05:00,90
2025.04.26 13:06:00,13:06:00,66
2025.04.26 13:07:00,13:07:00,78
2025.04.26 13:08:00,13:08:00,77
2025.04.26 13:09:00,13:09:00,97
2025.04.26 14:02:00,14:02:00,71
2025.04.26 14:03:00,14:03:00,56
2025.04.26 14:04:00,14:04:00,56
2025.04.26 14:13:00,14:13:00,55
2025.04.26 14:14:00,14:14:00,96
2025.04.26 14:15:00,14:15:00,107
2025.04.26 14:16:00,14:16:00,116
2025.04.26 14:17:00,14:17:00,84
2025.04.26 14:18:00,14:18:00,88
2025.04.26 14:20:00,14:20:00,87
2025.04.26 14:21:00,14:21:00,74
2025.04.26 14:22:00,14:22:00,76
2025.04.26 14:23:00,14:23:00,90
2025.04.26 14:24:00,14:24:00,68
2025.04.26 14:25:00,14:25:00,92
2025.04.26 14:26:00,14:26:00,85
2025.04.26 14:27:00,14:27:00,84
2025.04.26 14:30:00,14:30:00,91
2025.04.26 14:31:00,14:31:00,66
2025.04.26 14:32:00,14:32:00,69
2025.04.26 14:33:00,14:33:00,96
2025.04.26 14:34:00,14:34:00,76
