Fecha,Hora,Pasos
2025.04.14 00:00:00,00:00:00,16
2025.04.14 00:02:00,00:02:00,6
2025.04.14 00:03:00,00:03:00,19
2025.04.14 11:27:00,11:27:00,33
2025.04.14 11:28:00,11:28:00,16
2025.04.14 11:29:00,11:29:00,18
2025.04.14 11:30:00,11:30:00,34
2025.04.14 11:45:00,11:45:00,25
2025.04.14 11:51:00,11:51:00,20
2025.04.14 12:37:00,12:37:00,8
2025.04.14 12:38:00,12:38:00,52
2025.04.14 12:39:00,12:39:00,22
2025.04.14 12:40:00,12:40:00,37
2025.04.14 12:41:00,12:41:00,9
2025.04.14 12:42:00,12:42:00,11
2025.04.14 13:32:00,13:32:00,35
2025.04.14 13:50:00,13:50:00,87
2025.04.14 13:51:00,13:51:00,87
2025.04.14 13:52:00,13:52:00,89
2025.04.14 13:53:00,13:53:00,107
2025.04.14 13:54:00,13:54:00,108
2025.04.14 13:55:00,13:55:00,55
2025.04.14 14:05:00,14:05:00,96
2025.04.14 14:06:00,14:06:00,96
2025.04.14 14:07:00,14:07:00,87
2025.04.14 14:08:00,14:08:00,107
2025.04.14 14:09:00,14:09:00,99
2025.04.14 14:10:00,14:10:00,57
2025.04.14 14:56:00,14:56:00,17
2025.04.14 16:10:00,16:10:00,18
2025.04.14 16:11:00,16:11:00,86
2025.04.14 16:12:00,16:12:00,21
2025.04.14 16:13:00,16:13:00,102
2025.04.14 16:14:00,16:14:00,85
2025.04.14 16:15:00,16:15:00,12
2025.04.14 16:16:00,16:16:00,119
2025.04.14 16:17:00,16:17:00,33
2025.04.14 16:18:00,16:18:00,35
2025.04.14 16:21:00,16:21:00,25
2025.04.14 17:50:00,17:50:00,65
2025.04.14 17:51:00,17:51:00,81
2025.04.14 17:52:00,17:52:00,7
2025.04.14 18:22:00,18:22:00,47
2025.04.14 18:23:00,18:23:00,28
2025.04.14 18:54:00,18:54:00,21
2025.04.14 18:55:00,18:55:00,20
2025.04.14 20:35:00,20:35:00,37
2025.04.14 21:13:00,21:13:00,2
2025.04.14 21:22:00,21:22:00,53
2025.04.14 21:23:00,21:23:00,43
2025.04.14 21:27:00,21:27:00,7
2025.04.14 21:45:00,21:45:00,45
2025.04.14 21:47:00,21:47:00,37
2025.04.14 21:48:00,21:48:00,5
2025.04.14 22:37:00,22:37:00,24
2025.04.15 00:35:00,00:35:00,2
2025.04.15 00:40:00,00:40:00,5
2025.04.15 00:45:00,00:45:00,33
2025.04.15 00:46:00,00:46:00,29
2025.04.15 00:49:00,00:49:00,13
2025.04.15 00:50:00,00:50:00,18
2025.04.15 02:23:00,02:23:00,34
2025.04.15 02:24:00,02:24:00,18
2025.04.15 08:34:00,08:34:00,5
2025.04.15 08:51:00,08:51:00,10
2025.04.15 09:10:00,09:10:00,8
2025.04.15 09:11:00,09:11:00,8
2025.04.15 09:12:00,09:12:00,8
2025.04.15 09:13:00,09:13:00,8
2025.04.15 09:14:00,09:14:00,8
2025.04.15 09:15:00,09:15:00,8
2025.04.15 09:16:00,09:16:00,8
2025.04.15 09:17:00,09:17:00,8
2025.04.15 09:18:00,09:18:00,8
2025.04.15 09:19:00,09:19:00,7
2025.04.15 09:21:00,09:21:00,24
2025.04.15 09:26:00,09:26:00,48
2025.04.15 09:27:00,09:27:00,25
2025.04.15 09:28:00,09:28:00,48
2025.04.15 09:29:00,09:29:00,48
2025.04.15 09:30:00,09:30:00,48
2025.04.15 09:31:00,09:31:00,48
2025.04.15 09:32:00,09:32:00,48
2025.04.15 09:33:00,09:33:00,25
2025.04.15 09:34:00,09:34:00,97
2025.04.15 09:35:00,09:35:00,117
2025.04.15 09:36:00,09:36:00,110
2025.04.15 09:37:00,09:37:00,109
2025.04.15 09:38:00,09:38:00,113
2025.04.15 09:39:00,09:39:00,113
2025.04.15 09:40:00,09:40:00,113
2025.04.15 09:41:00,09:41:00,102
2025.04.15 09:42:00,09:42:00,122
2025.04.15 09:43:00,09:43:00,64
2025.04.15 09:44:00,09:44:00,79
2025.04.15 09:45:00,09:45:00,31
2025.04.15 09:50:00,09:50:00,38
2025.04.15 09:54:00,09:54:00,11
2025.04.15 10:00:00,10:00:00,7
2025.04.15 10:14:00,10:14:00,12
2025.04.15 10:17:00,10:17:00,11
2025.04.15 10:18:00,10:18:00,29
2025.04.15 10:19:00,10:19:00,11
2025.04.15 10:20:00,10:20:00,26
2025.04.15 10:21:00,10:21:00,11
2025.04.15 10:22:00,10:22:00,10
2025.04.15 10:23:00,10:23:00,10
2025.04.15 10:40:00,10:40:00,111
2025.04.15 10:41:00,10:41:00,82
2025.04.15 10:42:00,10:42:00,109
2025.04.15 10:43:00,10:43:00,109
2025.04.15 10:44:00,10:44:00,46
2025.04.15 10:45:00,10:45:00,113
2025.04.15 10:46:00,10:46:00,70
2025.04.15 10:47:00,10:47:00,106
2025.04.15 10:48:00,10:48:00,102
2025.04.15 10:49:00,10:49:00,92
2025.04.15 10:50:00,10:50:00,14
