Fecha,Hora,Pasos
2025.04.26 12:47:00,12:47:00,48
2025.04.26 12:50:00,12:50:00,9
2025.04.26 13:00:00,13:00:00,29
2025.04.26 13:01:00,13:01:00,17
2025.04.26 13:02:00,13:02:00,23
2025.04.26 13:03:00,13:03:00,38
2025.04.26 13:04:00,13:04:00,23
2025.04.26 13:05:00,13:05:00,37
2025.04.26 13:10:00,13:10:00,35
2025.04.26 14:12:00,14:12:00,17
2025.04.26 14:13:00,14:13:00,17
2025.04.26 14:14:00,14:14:00,10
2025.04.26 14:15:00,14:15:00,28
2025.04.26 14:16:00,14:16:00,17
2025.04.26 14:17:00,14:17:00,15
2025.04.26 14:18:00,14:18:00,16
2025.04.26 14:19:00,14:19:00,16
2025.04.26 14:20:00,14:20:00,16
2025.04.26 14:21:00,14:21:00,16
2025.04.26 14:22:00,14:22:00,126
2025.04.26 14:23:00,14:23:00,41
2025.04.26 14:26:00,14:26:00,16
2025.04.26 14:38:00,14:38:00,9
2025.04.26 14:39:00,14:39:00,8
2025.04.26 14:55:00,14:55:00,32
2025.04.26 14:56:00,14:56:00,32
2025.04.26 14:57:00,14:57:00,32
2025.04.26 14:58:00,14:58:00,32
2025.04.26 14:59:00,14:59:00,31
2025.04.26 15:00:00,15:00:00,24
2025.04.26 15:01:00,15:01:00,90
2025.04.26 15:02:00,15:02:00,79
2025.04.26 15:10:00,15:10:00,175
2025.04.26 15:11:00,15:11:00,77
2025.04.26 15:12:00,15:12:00,102
2025.04.26 15:13:00,15:13:00,19
2025.04.26 15:35:00,15:35:00,64
2025.04.26 15:36:00,15:36:00,18
2025.04.26 15:37:00,15:37:00,59
2025.04.26 15:38:00,15:38:00,108
2025.04.26 15:39:00,15:39:00,60
2025.04.26 15:40:00,15:40:00,63
2025.04.26 15:42:00,15:42:00,125
2025.04.26 15:43:00,15:43:00,32
2025.04.26 15:47:00,15:47:00,186
2025.04.26 15:49:00,15:49:00,123
2025.04.26 15:50:00,15:50:00,69
2025.04.26 16:00:00,16:00:00,39
2025.04.26 16:01:00,16:01:00,32
2025.04.26 16:02:00,16:02:00,93
2025.04.26 16:03:00,16:03:00,52
2025.04.26 16:04:00,16:04:00,14
2025.04.26 16:08:00,16:08:00,15
2025.04.26 16:10:00,16:10:00,17
2025.04.26 16:14:00,16:14:00,7
2025.04.26 16:18:00,16:18:00,5
2025.04.26 16:33:00,16:33:00,7
2025.04.26 16:34:00,16:34:00,6
2025.04.26 16:35:00,16:35:00,2
2025.04.26 16:36:00,16:36:00,10
2025.04.26 16:37:00,16:37:00,6
2025.04.26 16:38:00,16:38:00,5
2025.04.26 16:39:00,16:39:00,13
2025.04.26 16:41:00,16:41:00,6
2025.04.26 16:42:00,16:42:00,36
2025.04.26 16:43:00,16:43:00,4
2025.04.26 16:45:00,16:45:00,35
2025.04.26 16:46:00,16:46:00,26
2025.04.26 16:47:00,16:47:00,93
2025.04.26 16:48:00,16:48:00,82
2025.04.26 16:49:00,16:49:00,78
2025.04.26 16:50:00,16:50:00,34
